engage_id,customer_id,course_title,course_type,view_time,date_viewed
E00001,C100,Natural Language Processing,course,18.2,2026-08-15 12:46:26
E00002,C100,Natural Language Processing,course,44.1,2026-08-31 08:25:26
E00003,C100,Deep Learning Fundamentals,course,5.4,2026-09-02 04:47:26
E00004,C100,Advanced SQL for Analytics,course,63.4,2026-09-12 01:16:26
E00005,C100,Time Series Forecasting,project,78.5,2026-08-11 15:26:26
E00006,C101,Time Series Forecasting,project,23.6,2026-08-16 20:57:26
E00007,C101,Building Data Pipelines,project,61.2,2026-09-11 09:39:26
E00008,C102,Time Series Forecasting,project,40.4,2026-09-15 13:39:26
E00009,C102,End-to-End MLOps,project,113.9,2026-09-12 22:04:26
E00010,C102,Time Series Forecasting,project,13.0,2026-08-15 17:27:26
E00011,C102,Natural Language Processing,course,59.7,2026-08-14 16:19:26
E00012,C102,End-to-End MLOps,project,105.3,2026-08-22 14:36:26
E00013,C102,End-to-End MLOps,project,91.9,2026-08-05 14:50:26
E00014,C103,Deep Learning Fundamentals,course,119.4,2026-08-08 10:07:26
E00015,C103,End-to-End MLOps,project,56.9,2026-09-03 14:31:26
E00016,C104,Intro to Machine Learning,course,72.7,2026-09-04 03:21:26
E00017,C104,Intro to Machine Learning,course,13.2,2026-08-09 20:21:26
E00018,C107,Building Data Pipelines,project,13.1,2026-09-03 12:53:26
E00019,C107,Deep Learning Fundamentals,course,29.6,2026-09-09 21:36:26
E00020,C107,End-to-End MLOps,project,71.3,2026-09-03 05:44:26
E00021,C107,Deep Learning Fundamentals,course,26.9,2026-09-12 00:08:26
E00022,C107,Building Data Pipelines,project,53.7,2026-08-19 22:32:26
E00023,C107,Natural Language Processing,course,80.1,2026-08-08 18:32:26
E00024,C108,Natural Language Processing,course,44.0,2026-09-12 14:23:26
E00025,C108,Advanced SQL for Analytics,course,66.7,2026-09-10 08:24:26
E00026,C108,Building Data Pipelines,project,58.2,2026-09-14 06:44:26
E00027,C109,Time Series Forecasting,project,68.3,2026-09-15 01:01:26
E00028,C109,Time Series Forecasting,project,6.7,2026-09-13 14:25:26
E00029,C109,Deep Learning Fundamentals,course,60.8,2026-09-05 08:38:26
E00030,C109,Intro to Machine Learning,course,23.9,2026-09-18 09:19:26
E00031,C109,Time Series Forecasting,project,95.3,2026-08-31 07:51:26
E00032,C109,Natural Language Processing,course,119.5,2026-08-13 23:50:26
E00033,C110,Advanced SQL for Analytics,course,26.8,2026-09-05 19:58:26
E00034,C110,Natural Language Processing,course,67.4,2026-08-29 20:32:26
E00035,C110,End-to-End MLOps,project,59.8,2026-08-16 16:32:26
E00036,C111,Intro to Machine Learning,course,102.9,2026-09-14 02:31:26
E00037,C111,Natural Language Processing,course,104.1,2026-08-24 17:39:26
E00038,C111,End-to-End MLOps,project,33.3,2026-08-11 19:56:26
E00039,C111,Intro to Machine Learning,course,53.2,2026-08-12 03:02:26
E00040,C112,Building Data Pipelines,project,28.5,2026-08-04 11:20:26
E00041,C112,Building Data Pipelines,project,50.5,2026-08-07 01:16:26
E00042,C113,Building Data Pipelines,project,111.8,2026-09-14 21:06:26
E00043,C113,End-to-End MLOps,project,119.8,2026-09-12 19:01:26
E00044,C113,Advanced SQL for Analytics,course,63.2,2026-09-10 09:39:26
E00045,C115,Building Data Pipelines,project,37.8,2026-08-21 03:50:26
E00046,C116,End-to-End MLOps,project,118.1,2026-08-08 05:35:26
E00047,C116,Natural Language Processing,course,99.0,2026-08-30 00:29:26
E00048,C117,Building Data Pipelines,project,18.3,2026-09-11 22:00:26
